遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出,I项输出
0,-0.24,0.27,1.08,1.08,0.56,0.63,1.24,2,52.8,0,0.61
0,-0.12,0.17,0.67,0.67,2.7,-0.39,0.22,0,52.8,0,0.61
0,-0.06,0.08,0.31,0.31,4.26,-1.33,-0.73,-1,52.8,0,0.6
0,0.02,0.02,0.07,0.07,4.41,-1.77,-1.18,-2,52.8,0,0.59
0,0.08,-0.04,-0.14,-0.14,3.61,-1.69,-1.12,-2,52.8,0,0.58
0,0.06,-0.08,-0.31,-0.31,2.18,-1.32,-0.76,-1,52.8,0,0.57
0,0.02,-0.04,-0.15,-0.15,-0.16,-0.5,0.06,0,52.8,0,0.56
0,-0.06,0.01,0.03,0.03,-2.43,0.57,1.14,2,52.8,0,0.56
0,-0.13,0.08,0.34,0.34,-3.59,1.39,1.96,3,52.8,0,0.57
0,-0.27,0.19,0.77,0.77,-4.27,1.87,2.46,4,52.8,0,0.59
0,-0.35,0.31,1.26,1.26,-5.12,2.38,2.99,5,52.8,0,0.6
0,-0.41,0.39,1.54,1.54,-5.18,2.75,3.37,6,52.8,0,0.62
0,-0.43,0.44,1.76,1.76,-3.55,2.52,3.17,6,52.8,0,0.64
0,-0.43,0.45,1.79,1.79,-1.26,1.66,2.32,4,52.8,0,0.66
0,-0.41,0.41,1.65,1.65,0.49,0.79,1.45,2,52.8,0,0.66
0,-0.32,0.36,1.44,1.44,2.1,0.07,0.74,1,52.8,0,0.67
0,-0.22,0.27,1.09,1.09,3.64,-0.74,-0.07,0,52.8,0,0.66
0,-0.09,0.15,0.62,0.62,4.47,-1.42,-0.77,-1,52.8,0,0.65
0,-0.01,0.06,0.22,0.22,4.57,-1.74,-1.1,-2,52.8,0,0.64
0,0.03,-0.01,-0.03,-0.03,4.06,-1.78,-1.16,-2,52.8,0,0.63
0,0.04,-0.04,-0.16,-0.16,2.39,-1.42,-0.8,-1,52.8,0,0.61
0,-0.03,-0.02,-0.07,-0.07,-0.13,-0.49,0.11,0,52.8,0,0.61
0,-0.09,0.05,0.18,0.18,-2.47,0.62,1.23,2,52.8,0,0.61
