遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出,I项输出
0,-0.71,0.68,1.69,1.69,-6.36,3.04,5.74,11,57.9,0,2.7
0,-0.81,0.79,1.98,1.98,-5.88,3.3,6.05,12,57.9,0,2.75
0,-0.87,0.85,2.13,2.13,-4.43,2.97,5.76,11,57.9,0,2.79
0,-0.88,0.88,2.19,2.19,-2.06,2.21,5.04,10,57.9,0,2.83
0,-0.8,0.85,2.12,2.12,0.84,1.12,3.97,7,57.9,0,2.85
0,-0.68,0.74,1.85,1.85,3.89,-0.22,2.63,5,57.9,0,2.85
0,-0.52,0.61,1.52,1.52,6.34,-1.48,1.35,2,57.9,0,2.83
0,-0.36,0.42,1.04,1.04,7.64,-2.44,0.36,0,57.9,0,2.8
0,-0.2,0.3,0.74,0.74,7.86,-2.86,-0.1,0,57.9,0,2.76
0,-0.07,0.13,0.32,0.32,7.35,-2.94,-0.23,0,57.9,0,2.71
0,0.04,0,0,0,6.07,-2.73,-0.05,0,57.9,0,2.67
0,0.06,-0.04,-0.11,-0.11,3.89,-2.08,0.56,1,57.9,0,2.64
0,0.01,-0.04,-0.09,-0.09,1.09,-1.06,1.56,3,57.9,0,2.62
0,-0.09,0.04,0.09,0.09,-1.89,0.21,2.83,5,57.9,0,2.62
0,-0.23,0.16,0.39,0.39,-4.27,1.43,4.06,8,57.9,0,2.63
0,-0.36,0.3,0.74,0.74,-5.76,2.36,5.03,10,57.9,0,2.67
0,-0.46,0.44,1.09,1.09,-5.83,2.82,5.53,11,57.9,0,2.71
0,-0.48,0.49,1.22,1.22,-4.51,2.63,5.37,10,57.9,0,2.75
0,-0.46,0.48,1.21,1.21,-1.91,1.81,4.59,9,57.9,0,2.78
0,-0.39,0.44,1.09,1.09,0.75,0.66,3.46,6,57.75,0,2.79
0,-0.27,0.33,0.82,0.82,3.66,-0.55,2.24,4,57.9,0,2.79
0,-0.14,0.18,0.46,0.46,6.57,-1.86,0.9,1,57.9,0,2.77
0,0.02,0.04,0.11,0.11,8.39,-3.04,-0.32,0,57.9,0,2.72
0,0.13,-0.06,-0.16,-0.16,8.23,-3.49,-0.82,-1,57.9,0,2.67
0,0.24,-0.18,-0.46,-0.46,6.93,-3.22,-0.6,-1,57.9,0,2.62
0,0.31,-0.28,-0.69,-0.69,5.61,-2.81,-0.23,0,57.9,0,2.58
0,0.31,-0.3,-0.75,-0.75,3.14,-2.12,0.42,0,57.9,0,2.54
0,0.22,-0.26,-0.66,-0.66,0.07,-0.92,1.61,3,57.9,0,2.53
0,0.05,-0.16,-0.39,-0.39,-3.12,0.47,3,5,57.9,0,2.53
0,-0.11,0.01,0.01,0.01,-5.39,1.77,4.32,8,57.9,0,2.55
0,-0.21,0.15,0.38,0.38,-6.66,2.6,5.19,10,57.9,0,2.59
0,-0.34,0.28,0.7,0.7,-6.66,3.02,5.65,11,57.9,0,2.63
0,-0.4,0.38,0.94,0.94,-5.38,2.84,5.52,11,57.9,0,2.67
0,-0.4,0.38,0.96,0.96,-2.88,2.09,4.8,9,57.9,0,2.71
0,-0.27,0.35,0.87,0.87,-0.05,0.93,3.66,7,57.9,0,2.73
0,-0.15,0.25,0.62,0.62,2.96,-0.34,2.39,4,57.9,0,2.73
0,0.01,0.05,0.12,0.12,5.64,-1.69,1.01,2,57.9,0,2.71
0,0.19,-0.1,-0.24,-0.24,7.31,-2.75,-0.08,0,57.9,0,2.67
0,0.33,-0.28,-0.69,-0.69,7.92,-3.4,-0.77,-1,57.9,0,2.62
0,0.44,-0.39,-0.97,-0.97,7.05,-3.44,-0.88,-1,57.9,0,2.57
0,0.49,-0.48,-1.2,-1.2,5.03,-2.94,-0.41,0,57.9,0,2.52
0,0.5,-0.5,-1.25,-1.25,2.47,-2.02,0.46,0,57.9,0,2.49
