遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出
0,-0.08,0.09,0.04,0.04,0.08,-0.02,-0.64,-1,24.6,-0.62
0,-0.09,0.1,0.05,0.05,-0.03,0,0.42,0,24.75,0.42
0,-0.09,0.09,0.05,0.05,-0.21,0.16,1.21,2,24.6,1.05
0,-0.1,0.1,0.05,0.05,-0.34,0.35,1.39,2,24.6,1.04
0,-0.11,0.1,0.05,0.05,-0.29,0.39,0.29,0,24.6,-0.1
0,-0.11,0.11,0.05,0.05,-0.13,0.27,-0.55,-1,24.75,-0.82
0,-0.11,0.1,0.05,0.05,0.08,0.08,-1.13,-2,24.75,-1.21
0,-0.09,0.1,0.05,0.05,0.33,-0.15,-1.59,-3,24.75,-1.44
0,-0.08,0.09,0.04,0.04,0.55,-0.41,-1.95,-3,24.9,-1.54
0,-0.07,0.07,0.04,0.04,0.48,-0.52,-0.7,-1,24.75,-0.18
0,-0.08,0.08,0.04,0.04,0.18,-0.3,1.38,2,25.5,1.69
0,-0.1,0.08,0.04,0.04,-0.27,0.07,2.5,4,26.25,2.43
0,-0.12,0.11,0.05,0.05,-0.8,0.6,3.86,7,26.4,3.26
0,-0.14,0.14,0.07,0.07,-1.15,1.09,3.68,7,26.4,2.6
0,-0.16,0.15,0.08,0.08,-0.98,1.21,1.01,2,26.4,-0.2
0,-0.14,0.15,0.08,0.08,-0.33,0.79,-2.36,-4,26.4,-3.16
0,-0.1,0.12,0.06,0.06,0.74,-0.1,-6.07,-12,26.4,-5.97
0,-0.03,0.06,0.03,0.03,1.86,-1.3,-8.4,-16,26.4,-7.09
0,0.01,0.02,0.01,0.01,2.43,-2.25,-6.97,-13,26.4,-4.72
0,0.03,-0.03,-0.01,-0.01,2.04,-2.37,-1.44,-2,26.4,0.93
0,0.01,-0.04,-0.02,-0.02,0.6,-1.48,5.37,10,26.25,6.85
0,-0.08,0.03,0.01,0.01,-1.81,0.56,14.3,28,26.4,13.74
0,-0.19,0.14,0.07,0.07,-4.03,3.08,17.47,34,26.4,14.39
0,-0.32,0.27,0.14,0.14,-5.3,4.95,14.36,28,26.4,9.41
0,-0.43,0.38,0.19,0.19,-5.26,5.61,7.12,14,26.4,1.51
0,-0.45,0.44,0.22,0.22,-4.01,5.03,-0.25,0,26.25,-5.28
0,-0.43,0.45,0.23,0.23,-1.53,3.09,-10.68,-21,26.4,-13.77
0,-0.35,0.39,0.19,0.19,1.24,0.34,-16.27,-32,26.4,-16.61
0,-0.23,0.29,0.15,0.15,3.81,-2.45,-18.64,-37,26.4,-16.19
0,-0.13,0.17,0.09,0.09,5.37,-4.69,-16.33,-32,26.4,-11.64
0,-0.05,0.08,0.04,0.04,5.06,-5.42,-6.6,-13,26.4,-1.18
0,-0.06,0.04,0.02,0.02,2.96,-4.18,6.11,12,26.4,10.29
0,-0.14,0.1,0.05,0.05,-0.36,-1.35,17.35,34,26.25,18.7
0,-0.31,0.22,0.11,0.11,-4.1,2.32,24.53,49,26.4,22.21
0,-0.51,0.4,0.2,0.2,-7.43,6.11,27.8,54,26.4,21.69
0,-0.7,0.61,0.3,0.3,-9.36,8.88,22.6,45,26.4,13.72
0,-0.86,0.78,0.39,0.39,-9.81,10.17,15.29,30,26.4,5.11
0,-0.99,0.94,0.47,0.47,-8.65,9.88,5.14,10,26.4,-4.74
0,-1.05,1.05,0.52,0.52,-6.23,8.09,-4.79,-9,26.4,-12.88
0,-1.03,1.05,0.52,0.52,-2.61,5.1,-14.75,-29,26.4,-19.85
0,-0.92,0.98,0.49,0.49,1.57,0.99,-24.39,-48,26.4,-25.38
0,-0.78,0.84,0.42,0.42,4.79,-2.96,-24.78,-49,26.4,-21.82
0,-0.66,0.71,0.35,0.35,6.33,-5.41,-17.05,-34,26.4,-11.64
0,-0.56,0.61,0.3,0.3,6.16,-6.16,-7.86,-15,26.4,-1.69
0,-0.57,0.55,0.27,0.27,4.18,-5.12,4.11,8,26.4,9.23
0,-0.65,0.61,0.3,0.3,0.6,-2.28,16.95,33,26.4,19.23
0,-0.79,0.71,0.35,0.35,-3.81,1.97,28.53,54,26.4,26.56
0,-1,0.9,0.45,0.45,-7.65,6.3,30.83,57,26.4,24.53
0,-1.26,1.14,0.57,0.57,-10.29,9.68,27.21,53,26.4,17.53
0,-1.47,1.36,0.68,0.68,-11.73,11.89,22.94,45,26.4,11.05
0,-1.71,1.59,0.8,0.8,-11.58,12.58,13.29,26,26.4,0.71
0,-1.88,1.79,0.89,0.89,-10.71,12.14,8.14,16,26.4,-4
0,-1.99,1.95,0.97,0.97,-8.55,10.82,0.39,0,26.4,-10.43
0,-1.99,2,1,1,-4.89,7.87,-12.34,-24,26.4,-20.21
0,-1.94,1.98,0.99,0.99,-0.73,3.76,-21.68,-43,26.4,-25.44
0,-1.85,1.9,0.95,0.95,2.53,-0.12,-21.73,-43,26.4,-21.61
0,-1.74,1.8,0.9,0.9,4.19,-2.68,-15.23,-30,26.25,-12.55
0,-1.68,1.7,0.85,0.85,4.07,-3.51,-5.59,-11,26.4,-2.08
0,-1.72,1.68,0.84,0.84,1.99,-2.43,7.14,14,26.4,9.57
0,-1.83,1.77,0.88,0.88,-1.45,0.54,20.22,40,26.4,19.69
0,-1.99,1.9,0.95,0.95,-5.07,4.24,26.24,52,26.4,22.01
0,-2.26,2.1,1.05,1.05,-8.34,7.79,27.74,54,26.4,19.95
0,-2.5,2.37,1.18,1.18,-11.32,11.11,30.13,56,26.4,19.02
0,-2.78,2.65,1.32,1.32,-13.2,13.72,26.64,53,26.4,12.92
0,-3.08,2.92,1.46,1.46,-14.01,15.23,21.99,43,26.4,6.77
0,-3.34,3.24,1.62,1.62,-13.57,15.54,14.47,28,26.4,-1.07
0,-3.5,3.43,1.71,1.71,-11.84,14.63,6.83,13,26.4,-7.8
0,-3.57,3.55,1.78,1.78,-8.35,12.06,-6.54,-13,26.4,-18.6
0,-3.58,3.6,1.8,1.8,-4.02,8,-17.78,-35,26.4,-25.78
0,-3.52,3.57,1.78,1.78,0.01,3.69,-21.62,-43,26.4,-25.31
0,-3.42,3.46,1.73,1.73,2.94,0.07,-19.73,-39,26.4,-19.79
0,-3.39,3.41,1.71,1.71,3.78,-1.97,-10.86,-21,26.4,-8.89
0,-3.42,3.4,1.7,1.7,2.32,-1.58,4.33,8,26.4,5.92
0,-3.5,3.44,1.72,1.72,-0.61,0.76,16.98,33,26.4,16.22
0,-3.68,3.59,1.8,1.8,-4.05,4.07,24.1,48,26.4,20.03
